label,size,x_com,y_com,x_geom,y_geom
27,19825,1197.186,859.264,1175.106,842.118
122,967,838.998,891.012,838.267,891.616
155,6956,766.934,1006.798,761.389,1005.612
203,14840,1176.418,1235.900,1164.887,1262.672
259,6219,947.306,1261.445,947.085,1262.617
482,6717,975.402,1672.900,974.960,1674.022
628,1578,1115.706,1700.701,1116.115,1700.725
685,2199,1115.271,1833.598,1115.624,1833.919
