label,size,x_com,y_com,x_geom,y_geom
3,761,1077.264,747.709,1077.921,746.791
9,2619,1197.155,780.088,1200.882,777.131
79,706,1256.368,987.963,1257.455,988.268
106,44818,1160.352,1375.283,1164.027,1398.239
146,3181,976.462,1371.673,975.954,1369.732
190,519,981.784,1620.680,981.518,1620.355
199,719,982.739,1708.962,982.353,1708.373
